H-ID;title_main;title_alt;author_id;author;publisher_id;publisher;publication_place_id;publication_place;publication_date;url1;url2;genres;PDF
4432;Phật giáo triết học;La Philosophie du bouddhisme, étude historique;2086;Phan Văn Hùm;3303;Éditions Tân Việt;3216;Hà Nội;1942;http://catalogue.bnf.fr/ark:/12148/cb357578931;https://gallica.bnf.fr/ark:/12148/bpt6k42427754.pdf;;True
4433;Phiếm luận về Auguste Comte;Propos sur Auguste Comte, essai;2477;Nguyễn Tế Mỹ;3303;Éditions Tân Việt;3216;Hà Nội;1943;http://catalogue.bnf.fr/ark:/12148/cb35756736p;https://gallica.bnf.fr/ark:/12148/bpt6k42385699.pdf;;True
4434;Quyền công dân trong chính thể cộng hòa dân chủ;Les Droits du citoyen sous le régime de la république démocratique, essai;2478;Nguyễn Bằng;3303;Éditions Tân Việt;3216;Hà Nội;1945;http://catalogue.bnf.fr/ark:/12148/cb35756014f;https://gallica.bnf.fr/ark:/12148/bpt6k4244484p;Chính trị - Politique(s);True
4435;Siêu hình học;Métaphysique;2479;Nguyễn Ðình Thi;3303;Éditions Tân Việt;3216;Hà Nội;1943;http://catalogue.bnf.fr/ark:/12148/cb35756216p;https://gallica.bnf.fr/ark:/12148/bpt6k4245149h;;True
4436;Sử ký;Mémoires historiques;2482;Si-Ma Qian;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb357583649;https://gallica.bnf.fr/ark:/12148/bpt6k4239808z;;True
4437;Tang tóc;;2483;Vũ Trọng Can;3303;Éditions Tân Việt;3216;Hà Nội;1942;http://catalogue.bnf.fr/ark:/12148/cb31610009v;https://gallica.bnf.fr/ark:/12148/bpt6k42429463.pdf;;True
4438;Thằng Tuất;;2484;Trần Mai Ninh;3303;Éditions Tân Việt;3216;Hà Nội;1941;http://catalogue.bnf.fr/ark:/12148/cb31489237x;https://gallica.bnf.fr/ark:/12148/bpt6k4242909t;;True
4439;Thanh gươm Tử Ánh;;2462;Văn Tuyền;3303;Éditions Tân Việt;3216;Hà Nội;1942;http://catalogue.bnf.fr/ark:/12148/cb31541911k;https://gallica.bnf.fr/ark:/12148/bpt6k4239193w.pdf;;True
4441;Thanh niên trước thế giới mới;La Jeunesse devant le monde nouveau, essai;2485;Phùng Nguyên;3303;Éditions Tân Việt;3216;Hà Nội;1942;http://catalogue.bnf.fr/ark:/12148/cb35758058j;https://gallica.bnf.fr/ark:/12148/bpt6k42437815.pdf;;True
4442;Thế giới mới;Le Monde nouveau, essai;2470;André Maurois;3303;Éditions Tân Việt;3216;Hà Nội;1942;http://catalogue.bnf.fr/ark:/12148/cb35758059w;https://gallica.bnf.fr/ark:/12148/bpt6k42408783.pdf;;True
4443;Thi hào Tagore;Le Grand poète Tagore, biographie;2486;Nguyễn Văn Hai;3303;Éditions Tân Việt;3216;Hà Nội;1942;http://catalogue.bnf.fr/ark:/12148/cb357571457;https://gallica.bnf.fr/ark:/12148/bpt6k4241007k.pdf;;True
4444;Thi sĩ câm;;2487;Thiên Thu;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb31456040x;https://gallica.bnf.fr/ark:/12148/bpt6k4242811j.pdf;;True
4445;Thơ Đỗ Phủ;Do Fu;;;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb31483063g;https://gallica.bnf.fr/ark:/12148/bpt6k42439398.pdf;;True
4446;Thối thực ký văn;;2488;Trương Quốc Dụng;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb31502152c;https://gallica.bnf.fr/ark:/12148/bpt6k4243150j;;True
